zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad,sample
10,3,3,trefoil_x,0.0,0.0,0.0,sample_10_j11_spherical
11,4,0,spherical,10.0,8.00051908863283,-1.9994809113671703,sample_10_j11_spherical
12,4,-2,secondary_astig_45,0.0,0.0,0.0,sample_10_j11_spherical
13,4,2,secondary_astig_0,0.0,0.0,0.0,sample_10_j11_spherical
14,4,-4,quadrafoil_45,0.0,0.0,0.0,sample_10_j11_spherical
15,4,4,quadrafoil_0,0.0,0.0,0.0,sample_10_j11_spherical
16,5,-1,secondary_coma_y,0.0,0.0,0.0,sample_10_j11_spherical
17,5,1,secondary_coma_x,0.0,0.0,0.0,sample_10_j11_spherical
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0,sample_10_j11_spherical
19,5,3,secondary_trefoil_x,0.0,0.0,0.0,sample_10_j11_spherical
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_10_j11_spherical
21,5,5,pentafoil_x,0.0,0.0,0.0,sample_10_j11_spherical
