zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad,sample
3,1,-1,tilt_y,8.0,7.449362671913277,-0.5506373280867232,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
4,2,0,defocus,0.0,0.07692518848165462,0.07692518848165462,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
5,2,-2,astig_45,4.0,2.5190923583945035,-1.4809076416054965,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
6,2,2,astig_0,0.0,0.12186576762258212,0.12186576762258212,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
7,3,-1,coma_y,6.0,4.255903401627856,-1.7440965983721437,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
8,3,1,coma_x,12.0,9.801312501412074,-2.198687498587926,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
9,3,-3,trefoil_y,0.0,0.5495036176102698,0.5495036176102698,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
10,3,3,trefoil_x,10.0,7.983442581607068,-2.0165574183929316,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
11,4,0,spherical,0.0,0.23382884949473476,0.23382884949473476,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
12,4,-2,secondary_astig_45,9.0,5.804256067057177,-3.1957439329428228,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
13,4,2,secondary_astig_0,0.0,0.0,0.0,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
14,4,-4,quadrafoil_45,0.0,0.06417163389918713,0.06417163389918713,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
15,4,4,quadrafoil_0,5.0,3.095555010093978,-1.9044449899060218,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
16,5,-1,secondary_coma_y,0.0,-0.0343572297748722,-0.0343572297748722,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
17,5,1,secondary_coma_x,7.0,4.947537679630207,-2.052462320369793,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
18,5,-3,secondary_trefoil_y,0.0,0.00414352283570156,0.00414352283570156,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
19,5,3,secondary_trefoil_x,4.0,2.9251423690390443,-1.0748576309609557,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
21,5,5,pentafoil_x,0.0,0.0,0.0,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
2,1,1,tilt_x,0.0,0.7576451669145292,0.7576451669145292,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
3,1,-1,tilt_y,8.0,7.0236408836508835,-0.9763591163491165,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
4,2,0,defocus,0.0,0.09326083794529122,0.09326083794529122,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
5,2,-2,astig_45,4.0,2.5128222452482363,-1.4871777547517637,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
6,2,2,astig_0,0.0,0.06685686161624582,0.06685686161624582,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
7,3,-1,coma_y,6.0,3.8668990841520134,-2.1331009158479866,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
8,3,1,coma_x,12.0,9.674777150356324,-2.3252228496436764,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
9,3,-3,trefoil_y,0.0,0.897626484470349,0.897626484470349,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
